Code;Date;Precipitation;MaxTemp;MinTemp;Insolation;Year;Month;Day;Latitude;Longitude;Altitude;Humidity0;Humidity12;Humidity18;Pressure0;Pressure12;Pressure18;WindDirection0;WindDirection12;WindDirection18;WindSpeed0;WindSpeed12;WindSpeed18;Cloudiness0;Cloudiness12;Cloudiness18;AvgHumidity;AvgPressure;AvgCloudiness;AvgWindSpeed;WindDirection
83623;2021-01-01;0;34.6;22.3;6.2;2021;1;1;-20.41;-49.98;502.5;52.0;64.0;50.0;951.6;954.3;951.5;8;8;7;0.0;0.0;3.3;0.0;8.0;10.0;55.333333333333336;952.4666666666667;6.0;1.0999999999999999;7
83623;2021-01-03;0.9;31;21.1;8.6;2021;1;3;-20.41;-49.98;502.5;83.0;91.0;59.0;948.8;948.7;946.0;8;8;7;0.0;0.0;3.6;10.0;9.0;8.0;77.66666666666667;947.8333333333334;9.0;1.2;7
83623;2021-01-04;0;31.2;23.7;9.9;2021;1;4;-20.41;-49.98;502.5;77.0;71.0;55.0;952.2;953.2;950.6;8;1;0;0.0;2.5;4.1;0.0;8.0;8.0;67.66666666666667;952.0;5.333333333333333;2.1999999999999997;1
83623;2021-01-05;0;24.4;16.9;;2021;1;5;-20.41;-49.98;502.5;85.0;83.0;70.0;954.7;956.6;953.8;5;4;3;1.6;2.5;3.1;10.0;9.0;9.0;79.33333333333333;955.0333333333334;9.333333333333334;2.4;5
83623;2021-01-06;0;23;13.7;5.5;2021;1;6;-20.41;-49.98;502.5;93.0;86.0;71.0;960.4;962.2;959.0;8;4;4;0.0;2.5;2.5;10.0;10.0;8.0;83.33333333333333;960.5333333333333;9.333333333333334;1.6666666666666667;4
83623;2021-01-08;0;32;19.6;7.7;2021;1;8;-20.41;-49.98;502.5;38.0;47.0;25.0;955.8;955.2;953.0;8;1;7;0.0;3.3;3.6;0.0;7.0;8.0;36.666666666666664;954.6666666666666;5.0;2.3000000000000003;1
83623;2021-01-09;0;33.4;12.4;10.6;2021;1;9;-20.41;-49.98;502.5;50.0;54.0;20.0;955.6;957.8;954.2;8;7;5;0.0;2.5;2.5;0.0;8.0;0.0;41.333333333333336;955.8666666666668;2.6666666666666665;1.6666666666666667;7
83623;2021-01-10;0;37.4;23;9.9;2021;1;10;-20.41;-49.98;502.5;55.0;38.0;27.0;954.0;954.0;949.2;8;0;6;0.0;3.6;1.6;0.0;6.0;8.0;40.0;952.4;4.666666666666667;1.7333333333333334;0
83623;2021-01-11;0;27.8;20.6;0.7;2021;1;11;-20.41;-49.98;502.5;71.0;78.0;69.0;953.6;955.2;952.6;8;3;8;0.0;2.0;0.0;8.0;10.0;10.0;72.66666666666667;953.8000000000001;9.333333333333334;0.6666666666666666;3
83623;2021-01-12;0;35.6;22.2;12;2021;1;12;-20.41;-49.98;502.5;63.0;58.0;36.0;950.4;952.3;949.1;8;2;6;0.0;1.6;2.5;0.0;5.0;8.0;52.333333333333336;950.5999999999999;4.333333333333333;1.3666666666666665;2
83623;2021-01-13;11.9;30.6;21.7;4.2;2021;1;13;-20.41;-49.98;502.5;85.0;90.0;62.0;952.0;954.4;952.0;4;6;8;3.3;2.5;0.0;10.0;10.0;9.0;79.0;952.8000000000001;9.666666666666666;1.9333333333333333;4
83623;2021-01-14;5.7;28.4;21.7;2.9;2021;1;14;-20.41;-49.98;502.5;73.0;76.0;86.0;952.6;955.2;952.6;8;2;1;0.0;2.5;4.5;10.0;10.0;10.0;78.33333333333333;953.4666666666667;10.0;2.3333333333333335;2
83623;2021-01-15;6.3;28.4;19.9;0.9;2021;1;15;-20.41;-49.98;502.5;91.0;78.0;79.0;952.8;953.6;952.4;8;3;0;0.0;3.3;3.3;10.0;10.0;10.0;82.66666666666667;952.9333333333334;10.0;2.1999999999999997;3
83623;2021-01-16;24.4;31.2;19.7;7.7;2021;1;16;-20.41;-49.98;502.5;90.0;77.0;55.0;953.0;953.1;949.9;0;2;1;3.3;3.3;3.3;10.0;8.0;9.0;74.0;952.0;9.0;3.2999999999999994;0
83623;2021-01-17;0;30.6;20.9;7.3;2021;1;17;-20.41;-49.98;502.5;74.0;77.0;54.0;951.1;953.9;951.1;8;0;7;0.0;5.0;3.8;9.0;10.0;8.0;68.33333333333333;952.0333333333333;9.0;2.9333333333333336;0
83623;2021-01-18;1;30.4;22.1;4.7;2021;1;18;-20.41;-49.98;502.5;77.0;70.0;61.0;951.9;954.0;951.9;8;0;6;0.0;5.0;2.8;6.0;8.0;10.0;69.33333333333333;952.6;8.0;2.6;0
83623;2021-01-19;0;30.2;22.2;2.3;2021;1;19;-20.41;-49.98;502.5;86.0;78.0;86.0;951.9;952.3;949.2;8;7;8;0.0;4.1;0.0;5.0;9.0;10.0;83.33333333333333;951.1333333333332;8.0;1.3666666666666665;7
83623;2021-01-20;8;30;20.9;3.7;2021;1;20;-20.41;-49.98;502.5;88.0;86.0;65.0;952.2;953.9;951.0;8;0;8;0.0;3.3;0.0;10.0;10.0;8.0;79.66666666666667;952.3666666666667;9.333333333333334;1.0999999999999999;0
83623;2021-01-21;24;28.4;21.1;0.9;2021;1;21;-20.41;-49.98;502.5;86.0;92.0;68.0;952.0;953.6;951.0;7;0;8;3.3;2.5;0.0;10.0;10.0;9.0;82.0;952.1999999999999;9.666666666666666;1.9333333333333333;7
83623;2021-01-22;2;26.6;20.1;1;2021;1;22;-20.41;-49.98;502.5;88.0;95.0;94.0;953.8;953.9;952.4;8;3;6;0.0;2.5;2.5;10.0;10.0;10.0;92.33333333333333;953.3666666666667;10.0;1.6666666666666667;3
83623;2021-01-23;84.2;28.8;20.5;4.2;2021;1;23;-20.41;-49.98;502.5;95.0;90.0;71.0;951.9;954.3;952.7;8;1;1;0.0;3.3;2.0;10.0;10.0;9.0;85.33333333333333;952.9666666666666;9.666666666666666;1.7666666666666666;1
83623;2021-01-24;32.9;29.4;21.3;4.7;2021;1;24;-20.41;-49.98;502.5;92.0;93.0;79.0;953.9;955.4;953.2;8;1;8;0.0;2.5;0.0;10.0;10.0;8.0;88.0;954.1666666666666;9.333333333333334;0.8333333333333334;1
83623;2021-01-25;2.2;26.4;21.1;0.5;2021;1;25;-20.41;-49.98;502.5;86.0;84.0;86.0;953.2;955.8;953.1;5;8;8;2.5;0.0;0.0;10.0;10.0;10.0;85.33333333333333;954.0333333333333;10.0;0.8333333333333334;5
83623;2021-01-27;3.2;24.8;20.7;0;2021;1;27;-20.41;-49.98;502.5;91.0;78.0;89.0;953.1;954.6;951.6;8;6;8;0.0;2.5;0.0;10.0;10.0;10.0;86.0;953.1;10.0;0.8333333333333334;6
83623;2021-01-28;3.2;26.4;20.5;0.2;2021;1;28;-20.41;-49.98;502.5;96.0;93.0;88.0;953.0;953.2;950.0;6;1;7;2.5;2.5;3.6;10.0;10.0;10.0;92.33333333333333;952.0666666666666;10.0;2.8666666666666667;6
