Code;Date;Precipitation;MaxTemp;MinTemp;Insolation;Year;Month;Day;Latitude;Longitude;Altitude;Humidity0;Humidity12;Humidity18;Pressure0;Pressure12;Pressure18;WindDirection0;WindDirection12;WindDirection18;WindSpeed0;WindSpeed12;WindSpeed18;Cloudiness0;Cloudiness12;Cloudiness18;AvgHumidity;AvgPressure;AvgCloudiness;AvgWindSpeed;WindDirection
83446;2021-01-01;2.4;32.8;23.7;10.2;2021;1;1;-16.73;-39.54;194.67;76.0;77.0;51.0;989.6;990.9;987.7;2;0;2;2.6;2.1;5.8;0.0;6.0;8.0;68.0;989.4;4.666666666666667;3.5;2
83446;2021-01-03;0;34.2;23.9;7.8;2021;1;3;-16.73;-39.54;194.67;80.0;66.0;46.0;990.4;991.1;986.8;2;0;1;3.1;3.1;0.5;2.0;8.0;10.0;64.0;989.4333333333334;6.666666666666667;2.2333333333333334;2
83446;2021-01-04;0;32.2;22.3;9.9;2021;1;4;-16.73;-39.54;194.67;87.0;74.0;57.0;989.0;989.6;986.8;2;3;3;1.5;0.5;2.5;6.0;3.0;5.0;72.66666666666667;988.4666666666666;4.666666666666667;1.5;2
83446;2021-01-05;0;29.2;21.3;6.6;2021;1;5;-16.73;-39.54;194.67;89.0;78.0;71.0;992.3;992.5;989.8;2;3;3;0.3;3.1;3.5;3.0;8.0;10.0;79.33333333333333;991.5333333333333;7.0;2.3000000000000003;2
83446;2021-01-13;0;33.2;23;7.8;2021;1;13;-16.73;-39.54;194.67;73.0;67.0;93.0;991.5;992.2;989.9;2;1;1;2.0;2.1;1.8;0.0;6.0;9.0;77.66666666666667;991.1999999999999;5.0;1.9666666666666666;2
83446;2021-01-14;18.3;34.9;22.9;10;2021;1;14;-16.73;-39.54;194.67;84.0;72.0;52.0;992.6;992.4;988.5;2;7;3;0.8;1.6;4.5;0.0;7.0;6.0;69.33333333333333;991.1666666666666;4.333333333333333;2.3000000000000003;2
83446;2021-01-15;0;34.5;22.6;11.6;2021;1;15;-16.73;-39.54;194.67;77.0;69.0;43.0;992.5;995.3;990.1;2;0;2;3.3;1.6;1.6;0.0;7.5;3.75;63.0;992.6333333333333;3.75;2.1666666666666665;2
83446;2021-02-01;0;32.3;21.7;11.1;2021;2;1;-16.73;-39.54;194.67;84.0;70.0;50.0;991.4;992.4;989.5;2;1;2;1.0;2.1;5.6;8.0;5.0;3.0;68.0;991.1;5.333333333333333;2.9;2
83446;2021-02-03;0;31.8;23.3;1.2;2021;2;3;-16.73;-39.54;194.67;79.0;73.0;66.0;989.8;991.6;987.3;3;7;4;1.3;1.6;1.8;4.0;9.0;10.0;72.66666666666667;989.5666666666666;7.666666666666667;1.5666666666666667;3
83446;2021-02-04;12.1;31.4;23.9;6;2021;2;4;-16.73;-39.54;194.67;91.0;85.0;70.0;989.6;990.0;987.9;3;3;3;2.1;0.8;5.3;3.0;9.0;8.0;82.0;989.1666666666666;6.666666666666667;2.733333333333333;3
83446;2021-02-05;3.4;28.3;19.3;7.8;2021;2;5;-16.73;-39.54;194.67;93.0;80.0;80.0;993.1;994.3;992.5;2;6;2;0.8;0.3;4.6;10.0;3.0;9.0;84.33333333333333;993.3000000000001;7.333333333333333;1.8999999999999997;2
83446;2021-02-14;13.4;31.1;21.1;4.6;2021;2;14;-16.73;-39.54;194.67;89.0;94.0;60.0;992.4;993.6;989.9;2;6;2;0.8;1.1;1.8;0.0;10.0;10.0;81.0;991.9666666666667;6.666666666666667;1.2333333333333334;2
83446;2021-02-15;0;29.1;21.9;4.9;2021;2;15;-16.73;-39.54;194.67;87.0;74.0;89.0;990.6;991.8;989.9;2;1;5;1.0;1.1;1.6;0.0;9.0;10.0;83.33333333333333;990.7666666666668;6.333333333333333;1.2333333333333334;2
83446;2021-02-16;7.7;33.3;22.5;8.8;2021;2;16;-16.73;-39.54;194.67;93.0;82.0;57.0;990.7;991.6;988.3;6;7;2;0.7;1.3;4.1;0.0;10.0;6.0;77.33333333333333;990.2000000000002;5.333333333333333;2.033333333333333;6
83446;2021-02-17;0;34.3;22.3;11.2;2021;2;17;-16.73;-39.54;194.67;85.0;76.0;48.0;989.9;991.1;987.5;2;0;2;2.3;1.3;2.6;0.0;8.0;6.0;69.66666666666667;989.5;4.666666666666667;2.0666666666666664;2
83446;2021-02-18;0;33.6;22.3;8.8;2021;2;18;-16.73;-39.54;194.67;81.0;68.0;49.0;990.4;992.1;989.0;3;0;3;1.6;2.5;2.5;0.0;5.0;10.0;66.0;990.5;5.0;2.1999999999999997;3
83446;2021-02-19;0;34.7;23.1;8.9;2021;2;19;-16.73;-39.54;194.67;80.0;75.0;46.0;993.4;994.5;991.1;2;1;2;3.3;1.1;2.0;0.0;10.0;6.0;67.0;993.0;5.333333333333333;2.1333333333333333;2
83446;2021-02-20;0;32.1;23.8;7.2;2021;2;20;-16.73;-39.54;194.67;82.0;71.0;57.0;994.6;994.0;991.1;3;2;2;2.5;1.1;4.1;4.0;9.0;10.0;70.0;993.2333333333332;7.666666666666667;2.5666666666666664;3
83446;2021-02-21;0;32.1;22.6;7;2021;2;21;-16.73;-39.54;194.67;83.0;70.0;72.0;992.6;992.5;989.1;2;2;2;1.8;3.6;1.1;0.0;9.0;10.0;75.0;991.4;6.333333333333333;2.1666666666666665;2
