Code;Date;Precipitation;MaxTemp;MinTemp;Insolation;Year;Month;Day;Latitude;Longitude;Altitude;Humidity0;Humidity12;Humidity18;Pressure0;Pressure12;Pressure18;WindDirection0;WindDirection12;WindDirection18;WindSpeed0;WindSpeed12;WindSpeed18;Cloudiness0;Cloudiness12;Cloudiness18;AvgHumidity;AvgPressure;AvgCloudiness;AvgWindSpeed;WindDirection
82900;1966-01-08;8;28;22.8;;1966;1;8;-8.05;-34.95;10;97.0;73.0;75.0;1016.4;1016.8;1013.1;8;2;3;0.0;4.0;4.0;10.0;7.0;6.0;81.66666666666667;1015.4333333333333;7.666666666666667;2.6666666666666665;2
82900;1966-01-09;22.7;27.9;21.9;;1966;1;9;-8.05;-34.95;10;85.0;76.0;82.0;1012.4;1013.2;1011.4;3;2;3;2.0;4.0;6.0;10.0;4.0;10.0;81.0;1012.3333333333334;8.0;4.0;3
82900;1966-01-10;0;28.6;22.3;;1966;1;10;-8.05;-34.95;10;81.0;67.0;72.0;1014.8;1014.6;1012.0;2;2;3;2.0;4.0;6.0;5.0;4.0;5.0;73.33333333333333;1013.8000000000001;4.666666666666667;4.0;2
82900;1966-01-11;0.7;28.8;22.1;;1966;1;11;-8.05;-34.95;10;86.0;68.0;66.0;1012.8;1013.4;1011.2;2;2;2;2.0;6.0;2.0;4.0;4.0;2.0;73.33333333333333;1012.4666666666666;3.3333333333333335;3.3333333333333335;2
82900;1966-02-08;0.1;27.9;21.7;;1966;2;8;-8.05;-34.95;10;84.0;65.0;75.0;1014.2;1016.7;1012.7;8;3;3;0.0;8.0;6.0;2.0;3.0;6.0;74.66666666666667;1014.5333333333334;3.6666666666666665;4.666666666666667;3
82900;1966-02-09;13;27.3;22.1;;1966;2;9;-8.05;-34.95;10;93.0;75.0;77.0;1013.5;1015.6;1012.2;8;3;2;0.0;5.0;4.0;9.0;4.0;6.0;81.66666666666667;1013.7666666666668;6.333333333333333;3.0;3
82900;1966-02-10;0;28.2;21.8;;1966;2;10;-8.05;-34.95;10;90.0;65.0;66.0;1012.2;1014.2;1011.0;8;3;2;0.0;5.0;3.0;6.0;6.0;5.0;73.66666666666667;1012.4666666666667;5.666666666666667;2.6666666666666665;3
82900;1966-02-11;0;28.8;21.4;;1966;2;11;-8.05;-34.95;10;97.0;60.0;59.0;1013.5;1013.0;1010.7;8;3;3;0.0;5.0;6.0;3.0;3.0;5.0;72.0;1012.4;3.6666666666666665;3.6666666666666665;3
82900;1966-02-12;0;29.8;21.8;10.5;1966;2;12;-8.05;-34.95;10;80.0;69.0;67.0;1008.7;1010.8;1009.2;3;3;3;4.0;5.0;5.0;4.0;5.0;4.0;72.0;1009.5666666666666;4.333333333333333;4.666666666666667;3
82900;1966-03-08;0;28;18.8;;1966;3;8;-8.05;-34.95;10;88.0;62.0;60.0;1014.0;1016.6;1013.1;8;3;3;0.0;7.0;6.0;8.0;2.0;4.0;70.0;1014.5666666666666;4.666666666666667;4.333333333333333;3
82900;1966-03-09;0.3;27.3;19.3;;1966;3;9;-8.05;-34.95;10;86.0;81.0;73.0;1013.6;1015.1;1012.0;8;3;3;0.0;6.0;4.0;8.0;3.0;6.0;80.0;1013.5666666666666;5.666666666666667;3.3333333333333335;3
82900;1966-03-10;0;28.7;20;;1966;3;10;-8.05;-34.95;10;91.0;68.0;74.0;1012.6;1013.2;1011.2;2;3;2;2.0;3.0;3.0;6.0;5.0;3.0;77.66666666666667;1012.3333333333334;4.666666666666667;2.6666666666666665;2
82900;1966-03-11;0;29.6;20;;1966;3;11;-8.05;-34.95;10;71.0;66.0;65.0;1012.2;1012.7;1009.9;8;2;3;0.0;6.0;6.0;4.0;3.0;5.0;67.33333333333333;1011.6;4.0;4.0;2
82900;1966-03-12;2.4;29.9;24.6;;1966;3;12;-8.05;-34.95;10;83.0;60.0;68.0;1010.7;1012.2;1009.5;8;3;2;0.0;4.0;4.0;4.0;5.0;4.0;70.33333333333333;1010.8000000000001;4.333333333333333;2.6666666666666665;3
82900;1966-04-08;0;28;19.5;;1966;4;8;-8.05;-34.95;10;92.0;60.0;67.0;1014.4;1014.8;1011.4;4;3;3;2.0;8.0;8.0;8.0;3.0;4.0;73.0;1013.5333333333333;5.0;6.0;4
82900;1966-04-09;11.6;27.4;20.6;;1966;4;9;-8.05;-34.95;10;93.0;84.0;78.0;1013.9;1014.6;1012.4;8;2;3;0.0;4.0;5.0;8.0;10.0;10.0;85.0;1013.6333333333333;9.333333333333334;3.0;2
82900;1966-04-10;0;28.2;22.5;;1966;4;10;-8.05;-34.95;10;90.0;87.0;76.0;1012.3;1014.0;1010.0;8;8;2;0.0;0.0;2.0;6.0;8.0;9.0;84.33333333333333;1012.1;7.666666666666667;0.6666666666666666;2
82900;1966-04-11;1.7;29.8;22.9;5.1;1966;4;11;-8.05;-34.95;10;74.0;71.0;82.0;1011.8;1012.2;1011.4;8;2;8;0.0;7.0;0.0;4.0;7.0;9.0;75.66666666666667;1011.8000000000001;6.666666666666667;2.3333333333333335;2
82900;1966-04-12;0;30.4;22.8;11.4;1966;4;12;-8.05;-34.95;10;89.0;68.0;71.0;1010.8;1010.7;1007.8;2;3;0;2.0;5.0;6.0;6.0;4.0;5.0;76.0;1009.7666666666668;5.0;4.333333333333333;2
82900;1966-05-08;0;27.8;19;;1966;5;8;-8.05;-34.95;10;92.0;70.0;60.0;1013.4;1013.5;1011.1;8;3;3;0.0;5.0;4.0;4.0;5.0;1.0;74.0;1012.6666666666666;3.3333333333333335;3.0;3
82900;1966-05-09;0;28.4;19.6;;1966;5;9;-8.05;-34.95;10;84.0;73.0;79.0;1014.3;1014.7;1013.1;8;3;3;0.0;4.0;4.0;10.0;5.0;10.0;78.66666666666667;1014.0333333333333;8.333333333333334;2.6666666666666665;3
82900;1966-05-10;0;28.5;20.6;;1966;5;10;-8.05;-34.95;10;81.0;74.0;63.0;1012.4;1014.2;1011.5;8;3;3;0.0;3.0;3.0;10.0;5.0;4.0;72.66666666666667;1012.6999999999999;6.333333333333333;2.0;3
82900;1966-05-11;11.7;29.2;23.5;9.9;1966;5;11;-8.05;-34.95;10;74.0;69.0;64.0;1012.0;1013.9;1010.8;8;3;2;0.0;7.0;2.0;2.0;6.0;4.0;69.0;1012.2333333333332;4.0;3.0;3
82900;1966-05-12;4.5;29.5;24.2;9.6;1966;5;12;-8.05;-34.95;10;86.0;73.0;72.0;1008.8;1010.0;1007.5;8;3;3;0.0;7.0;3.0;2.0;5.0;5.0;77.0;1008.7666666666668;4.0;3.3333333333333335;3
82900;1966-06-08;0;27.5;17.3;;1966;6;8;-8.05;-34.95;10;76.0;68.0;66.0;1013.2;1013.4;1010.7;8;3;3;0.0;6.0;8.0;2.0;4.0;5.0;70.0;1012.4333333333334;3.6666666666666665;4.666666666666667;3
82900;1966-06-09;58.1;28;21.3;;1966;6;9;-8.05;-34.95;10;89.0;87.0;92.0;1015.6;1016.0;1013.9;8;5;3;0.0;3.0;5.0;10.0;7.0;10.0;89.33333333333333;1015.1666666666666;9.0;2.6666666666666665;5
82900;1966-06-10;0;28.1;19.4;;1966;6;10;-8.05;-34.95;10;93.0;71.0;65.0;1014.0;1014.4;1011.6;8;4;2;0.0;5.0;6.0;6.0;5.0;1.0;76.33333333333333;1013.3333333333334;4.0;3.6666666666666665;4
82900;1966-06-11;1.1;28.1;23.1;7.3;1966;6;11;-8.05;-34.95;10;80.0;68.0;68.0;1012.4;1012.0;1009.9;8;3;3;0.0;7.0;4.0;8.0;8.0;5.0;72.0;1011.4333333333334;7.0;3.6666666666666665;3
82900;1966-06-12;0;29.6;23.4;10;1966;6;12;-8.05;-34.95;10;83.0;72.0;72.0;1009.2;1009.1;1007.5;8;3;3;0.0;7.0;4.0;4.0;5.0;5.0;75.66666666666667;1008.6;4.666666666666667;3.6666666666666665;3
82900;1966-07-08;0;27.3;17.6;;1966;7;8;-8.05;-34.95;10;76.0;60.0;84.0;1013.0;1014.2;1012.0;3;3;3;4.0;4.0;5.0;6.0;5.0;5.0;73.33333333333333;1013.0666666666666;5.333333333333333;4.333333333333333;3
82900;1966-07-09;24.7;28.4;20.4;;1966;7;9;-8.05;-34.95;10;95.0;86.0;74.0;1015.1;1015.5;1013.0;8;3;3;0.0;7.0;6.0;10.0;7.0;5.0;85.0;1014.5333333333333;7.333333333333333;4.333333333333333;3
82900;1966-07-10;0;28.6;19.4;;1966;7;10;-8.05;-34.95;10;87.0;69.0;66.0;1014.2;1014.4;1011.6;8;3;4;0.0;5.0;3.0;4.0;6.0;3.0;74.0;1013.4;4.333333333333333;2.6666666666666665;3
82900;1966-07-11;0;29.2;23.2;8.4;1966;7;11;-8.05;-34.95;10;89.0;64.0;63.0;1012.6;1011.0;1007.6;8;3;3;0.0;7.0;6.0;8.0;5.0;6.0;72.0;1010.4;6.333333333333333;4.333333333333333;3
82900;1966-07-12;0.9;29.4;24.2;10.5;1966;7;12;-8.05;-34.95;10;78.0;64.0;68.0;1009.5;1010.2;1007.0;8;2;3;0.0;7.0;4.0;10.0;3.0;3.0;70.0;1008.9;5.333333333333333;3.6666666666666665;2
82900;1966-07-13;49.4;27.2;22;1.1;1966;7;13;-8.05;-34.95;10;98.0;85.0;92.0;1013.1;1014.2;1010.6;3;3;3;6.0;4.0;4.0;10.0;10.0;10.0;91.66666666666667;1012.6333333333333;10.0;4.666666666666667;3
82900;1966-07-14;8.9;26.5;23.4;1.1;1966;7;14;-8.05;-34.95;10;85.0;90.0;93.0;1013.5;1013.2;1011.0;3;3;3;2.0;4.0;6.0;10.0;6.0;10.0;89.33333333333333;1012.5666666666666;8.666666666666666;4.0;3
82900;1966-07-15;69.3;27.2;21.7;1.1;1966;7;15;-8.05;-34.95;10;96.0;84.0;82.0;1015.2;1012.8;1011.1;8;8;3;0.0;0.0;2.0;10.0;9.0;2.0;87.33333333333333;1013.0333333333333;7.0;0.6666666666666666;3
82900;1966-07-16;17.9;26.2;21.8;1.1;1966;7;16;-8.05;-34.95;10;88.0;93.0;82.0;1013.8;1014.2;1012.6;8;8;3;0.0;0.0;2.0;9.0;8.0;6.0;87.66666666666667;1013.5333333333333;7.666666666666667;0.6666666666666666;3
82900;1966-07-17;14.6;27.1;23.2;1.1;1966;7;17;-8.05;-34.95;10;88.0;88.0;84.0;1014.0;1015.0;1012.2;8;2;2;0.0;2.0;5.0;10.0;6.0;6.0;86.66666666666667;1013.7333333333332;7.333333333333333;2.3333333333333335;2
82900;1966-07-18;13.2;24.5;21.5;1.1;1966;7;18;-8.05;-34.95;10;90.0;97.0;88.0;1014.4;1015.5;1012.3;3;3;3;4.0;4.0;5.0;6.0;10.0;10.0;91.66666666666667;1014.0666666666666;8.666666666666666;4.333333333333333;3
82900;1966-07-19;23.4;27.7;21.3;1.1;1966;7;19;-8.05;-34.95;10;95.0;75.0;71.0;1013.5;1015.8;1011.9;3;3;3;4.0;6.0;6.0;10.0;8.0;8.0;80.33333333333333;1013.7333333333332;8.666666666666666;5.333333333333333;3
82900;1966-07-20;0.5;27.4;20;1.1;1966;7;20;-8.05;-34.95;10;90.0;92.0;85.0;1014.3;1015.1;1012.6;8;8;3;0.0;0.0;4.0;4.0;4.0;6.0;89.0;1014.0;4.666666666666667;1.3333333333333333;3
82900;1966-07-21;94.7;26.8;20.8;1.1;1966;7;21;-8.05;-34.95;10;89.0;94.0;72.0;1014.0;1014.8;1011.8;3;8;3;4.0;0.0;10.0;10.0;10.0;6.0;85.0;1013.5333333333333;8.666666666666666;4.666666666666667;3
82900;1966-07-22;30.8;27.9;21.7;1.1;1966;7;22;-8.05;-34.95;10;95.0;73.0;68.0;1013.8;1013.9;1012.2;8;3;3;0.0;10.0;8.0;10.0;7.0;4.0;78.66666666666667;1013.2999999999998;7.0;6.0;3
82900;1966-07-23;0.5;27.8;22.3;1.1;1966;7;23;-8.05;-34.95;10;75.0;73.0;76.0;1014.0;1019.7;1013.9;8;3;3;0.0;8.0;6.0;4.0;9.0;4.0;74.66666666666667;1015.8666666666667;5.666666666666667;4.666666666666667;3
82900;1966-07-24;0;26.6;21.7;1.1;1966;7;24;-8.05;-34.95;10;84.0;76.0;74.0;1014.8;1015.0;1013.5;8;4;4;0.0;6.0;4.0;6.0;7.0;8.0;78.0;1014.4333333333334;7.0;3.3333333333333335;4
82900;1966-07-25;7.6;27.6;21.4;1.1;1966;7;25;-8.05;-34.95;10;94.0;69.0;75.0;1016.0;1015.0;1013.1;8;3;3;0.0;5.0;5.0;4.0;3.0;7.0;79.33333333333333;1014.6999999999999;4.666666666666667;3.3333333333333335;3
82900;1966-07-26;3.5;26.6;21.7;1.1;1966;7;26;-8.05;-34.95;10;94.0;91.0;80.0;1014.4;1014.6;1012.7;8;4;3;0.0;4.0;6.0;8.0;9.0;8.0;88.33333333333333;1013.9;8.333333333333334;3.3333333333333335;4
82900;1966-07-27;7.5;27.4;21.9;1.1;1966;7;27;-8.05;-34.95;10;90.0;83.0;83.0;1014.7;1015.4;1012.6;8;3;3;0.0;7.0;7.0;10.0;3.0;6.0;85.33333333333333;1014.2333333333332;6.333333333333333;4.666666666666667;3
